"LengthColumnNames","SubjectTestTrain_Vector","SubjectTestTrain_Vector_New"
1,"Code","Code"
2,"Subject","Subject"
3,"Activity","Activity"
4,"tBodyAcc.mean...X","TimeBodyAccelerometerMean()-X"
5,"tBodyAcc.mean...Y","TimeBodyAccelerometerMean()-Y"
6,"tBodyAcc.mean...Z","TimeBodyAccelerometerMean()-Z"
7,"tBodyAcc.std...X","TimeBodyAccelerometerStd()-X"
8,"tBodyAcc.std...Y","TimeBodyAccelerometerStd()-Y"
9,"tBodyAcc.std...Z","TimeBodyAccelerometerStd()-Z"
10,"tBodyAcc.mad...X","TimeBodyAccelerometer-Median_Absolute_Deviation()-X"
11,"tBodyAcc.mad...Y","TimeBodyAccelerometer-Median_Absolute_Deviation()-Y"
12,"tBodyAcc.mad...Z","TimeBodyAccelerometer-Median_Absolute_Deviation()-Z"
13,"tBodyAcc.max...X","TimeBodyAccelerometer-max()-X"
14,"tBodyAcc.max...Y","TimeBodyAccelerometer-max()-Y"
15,"tBodyAcc.max...Z","TimeBodyAccelerometer-max()-Z"
16,"tBodyAcc.min...X","TimeBodyAccelerometer-min()-X"
17,"tBodyAcc.min...Y","TimeBodyAccelerometer-min()-Y"
18,"tBodyAcc.min...Z","TimeBodyAccelerometer-min()-Z"
19,"tBodyAcc.sma..","TimeBodyAccelerometer-SignalMagnitudeArea()"
20,"tBodyAcc.energy...X","TimeBodyAccelerometer-energy()-X"
21,"tBodyAcc.energy...Y","TimeBodyAccelerometer-energy()-Y"
22,"tBodyAcc.energy...Z","TimeBodyAccelerometer-energy()-Z"
23,"tBodyAcc.iqr...X","TimeBodyAccelerometer-InterquartileRange()-X"
24,"tBodyAcc.iqr...Y","TimeBodyAccelerometer-InterquartileRange()-Y"
25,"tBodyAcc.iqr...Z","TimeBodyAccelerometer-InterquartileRange()-Z"
26,"tBodyAcc.entropy...X","TimeBodyAccelerometer-entropy()-X"
27,"tBodyAcc.entropy...Y","TimeBodyAccelerometer-entropy()-Y"
28,"tBodyAcc.entropy...Z","TimeBodyAccelerometer-entropy()-Z"
29,"tBodyAcc.arCoeff...X.1","TimeBodyAccelerometer-arCoeff()-X,1"
30,"tBodyAcc.arCoeff...X.2","TimeBodyAccelerometer-arCoeff()-X,2"
31,"tBodyAcc.arCoeff...X.3","TimeBodyAccelerometer-arCoeff()-X,3"
32,"tBodyAcc.arCoeff...X.4","TimeBodyAccelerometer-arCoeff()-X,4"
33,"tBodyAcc.arCoeff...Y.1","TimeBodyAccelerometer-arCoeff()-Y,1"
34,"tBodyAcc.arCoeff...Y.2","TimeBodyAccelerometer-arCoeff()-Y,2"
35,"tBodyAcc.arCoeff...Y.3","TimeBodyAccelerometer-arCoeff()-Y,3"
36,"tBodyAcc.arCoeff...Y.4","TimeBodyAccelerometer-arCoeff()-Y,4"
37,"tBodyAcc.arCoeff...Z.1","TimeBodyAccelerometer-arCoeff()-Z,1"
38,"tBodyAcc.arCoeff...Z.2","TimeBodyAccelerometer-arCoeff()-Z,2"
39,"tBodyAcc.arCoeff...Z.3","TimeBodyAccelerometer-arCoeff()-Z,3"
40,"tBodyAcc.arCoeff...Z.4","TimeBodyAccelerometer-arCoeff()-Z,4"
41,"tBodyAcc.correlation...X.Y","TimeBodyAccelerometer-correlation()-X,Y"
42,"tBodyAcc.correlation...X.Z","TimeBodyAccelerometer-correlation()-X,Z"
43,"tBodyAcc.correlation...Y.Z","TimeBodyAccelerometer-correlation()-Y,Z"
44,"tGravityAcc.mean...X","TimeGravityAccelerometerMean()-X"
45,"tGravityAcc.mean...Y","TimeGravityAccelerometerMean()-Y"
46,"tGravityAcc.mean...Z","TimeGravityAccelerometerMean()-Z"
47,"tGravityAcc.std...X","TimeGravityAccelerometerStd()-X"
48,"tGravityAcc.std...Y","TimeGravityAccelerometerStd()-Y"
49,"tGravityAcc.std...Z","TimeGravityAccelerometerStd()-Z"
50,"tGravityAcc.mad...X","TimeGravityAccelerometer-Median_Absolute_Deviation()-X"
51,"tGravityAcc.mad...Y","TimeGravityAccelerometer-Median_Absolute_Deviation()-Y"
