"LengthColumnNames","ColumnNames"
"1","Code"
"2","Subject"
"3","Activity"
"4","TimeBodyAccelerometerMean()-X"
"5","TimeBodyAccelerometerMean()-Y"
"6","TimeBodyAccelerometerMean()-Z"
"7","TimeBodyAccelerometerStd()-X"
"8","TimeBodyAccelerometerStd()-Y"
"9","TimeBodyAccelerometerStd()-Z"
"10","TimeBodyAccelerometer-Median_Absolute_Deviation()-X"
"11","TimeBodyAccelerometer-Median_Absolute_Deviation()-Y"
"12","TimeBodyAccelerometer-Median_Absolute_Deviation()-Z"
"13","TimeBodyAccelerometer-max()-X"
"14","TimeBodyAccelerometer-max()-Y"
"15","TimeBodyAccelerometer-max()-Z"
"16","TimeBodyAccelerometer-min()-X"
"17","TimeBodyAccelerometer-min()-Y"
"18","TimeBodyAccelerometer-min()-Z"
"19","TimeBodyAccelerometer-SignalMagnitudeArea()"
"20","TimeBodyAccelerometer-energy()-X"
"21","TimeBodyAccelerometer-energy()-Y"
"22","TimeBodyAccelerometer-energy()-Z"
"23","TimeBodyAccelerometer-InterquartileRange()-X"
"24","TimeBodyAccelerometer-InterquartileRange()-Y"
"25","TimeBodyAccelerometer-InterquartileRange()-Z"
"26","TimeBodyAccelerometer-entropy()-X"
"27","TimeBodyAccelerometer-entropy()-Y"
"28","TimeBodyAccelerometer-entropy()-Z"
"29","TimeBodyAccelerometer-arCoeff()-X,1"
"30","TimeBodyAccelerometer-arCoeff()-X,2"
"31","TimeBodyAccelerometer-arCoeff()-X,3"
"32","TimeBodyAccelerometer-arCoeff()-X,4"
"33","TimeBodyAccelerometer-arCoeff()-Y,1"
"34","TimeBodyAccelerometer-arCoeff()-Y,2"
"35","TimeBodyAccelerometer-arCoeff()-Y,3"
"36","TimeBodyAccelerometer-arCoeff()-Y,4"
"37","TimeBodyAccelerometer-arCoeff()-Z,1"
"38","TimeBodyAccelerometer-arCoeff()-Z,2"
"39","TimeBodyAccelerometer-arCoeff()-Z,3"
"40","TimeBodyAccelerometer-arCoeff()-Z,4"
"41","TimeBodyAccelerometer-correlation()-X,Y"
"42","TimeBodyAccelerometer-correlation()-X,Z"
"43","TimeBodyAccelerometer-correlation()-Y,Z"
"44","TimeGravityAccelerometerMean()-X"
"45","TimeGravityAccelerometerMean()-Y"
"46","TimeGravityAccelerometerMean()-Z"
"47","TimeGravityAccelerometerStd()-X"
"48","TimeGravityAccelerometerStd()-Y"
"49","TimeGravityAccelerometerStd()-Z"
"50","TimeGravityAccelerometer-Median_Absolute_Deviation()-X"
"51","TimeGravityAccelerometer-Median_Absolute_Deviation()-Y"
"52","TimeGravityAccelerometer-Median_Absolute_Deviation()-Z"
"53","TimeGravityAccelerometer-max()-X"
"54","TimeGravityAccelerometer-max()-Y"
"55","TimeGravityAccelerometer-max()-Z"
"56","TimeGravityAccelerometer-min()-X"
"57","TimeGravityAccelerometer-min()-Y"
"58","TimeGravityAccelerometer-min()-Z"
"59","TimeGravityAccelerometer-SignalMagnitudeArea()"
"60","TimeGravityAccelerometer-energy()-X"
"61","TimeGravityAccelerometer-energy()-Y"
"62","TimeGravityAccelerometer-energy()-Z"
"63","TimeGravityAccelerometer-InterquartileRange()-X"
"64","TimeGravityAccelerometer-InterquartileRange()-Y"
"65","TimeGravityAccelerometer-InterquartileRange()-Z"
"66","TimeGravityAccelerometer-entropy()-X"
"67","TimeGravityAccelerometer-entropy()-Y"
"68","TimeGravityAccelerometer-entropy()-Z"
"69","TimeGravityAccelerometer-arCoeff()-X,1"
"70","TimeGravityAccelerometer-arCoeff()-X,2"
"71","TimeGravityAccelerometer-arCoeff()-X,3"
"72","TimeGravityAccelerometer-arCoeff()-X,4"
